City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,-2.66,63,100,0.89,US,1739629267
1,gokwe,-18.2048,28.9349,26.19,62,100,0.82,ZW,1739629268
2,kuraymah,18.55,31.85,28.51,8,2,6.07,SD,1739629270
3,jamestown,-15.9387,-5.7168,21.22,77,65,6.99,SH,1739629036
4,kodiak,57.79,-152.4072,2.73,93,100,2.06,US,1739629272
5,margate,-30.8636,30.3705,22.8,81,100,2.63,ZA,1739629243
6,metlili chaamba,32.2667,3.6333,22.52,17,0,4.63,DZ,1739629274
7,nadym,65.5333,72.5167,-29.59,100,52,1.25,RU,1739629275
8,al mijlad,11.0333,27.7333,38.03,14,35,3.65,SD,1739629276
9,ushuaia,-54.8,-68.3,6.81,81,75,7.2,AR,1739629277
10,kapa'a,22.0752,-159.319,20.18,94,40,3.09,US,1739629279
11,nova sintra,14.8667,-24.7167,21.13,74,100,11.38,CV,1739629280
12,bilibino,68.0546,166.4372,-20.32,66,0,4.06,RU,1739629282
13,atafu village,-8.5421,-172.5159,28.05,69,38,4.58,TK,1739629283
14,port-aux-francais,-49.35,70.2167,8.93,96,100,20.17,TF,1739629284
15,flying fish cove,-10.4217,105.6791,24.82,88,72,1.54,CX,1739629285
16,hermanus,-34.4187,19.2345,29.89,61,0,8.27,ZA,1739629286
17,mount isa,-20.7333,139.5,21.87,78,36,1.54,AU,1739629287
18,muroto-misakicho,33.2833,134.15,12.36,62,100,3.05,JP,1739629288
19,adamstown,-25.066,-130.1015,25.37,80,74,5.08,PN,1739629290
20,grytviken,-54.2811,-36.5092,2.83,63,59,1.21,GS,1739629291
21,luderitz,-26.6481,15.1594,23.21,60,3,9.53,NA,1739629292
22,cardigan,52.0847,-4.6591,7.72,95,100,3.41,GB,1739629293
23,edinburgh of the seven seas,-37.0676,-12.3116,18.84,86,78,3.03,SH,1739629294
24,hamilton,32.2915,-64.778,15.02,69,75,3.6,BM,1739629173
25,blackmans bay,-43.0167,147.3167,10.07,78,74,1.34,AU,1739629296
26,chibougamau,49.9168,-74.3659,-26.21,76,0,0.0,CA,1739629297
27,margaret river,-33.95,115.0667,17.63,77,0,3.71,AU,1739629299
28,alzamay,55.5562,98.6644,-20.13,100,100,1.44,RU,1739629300
29,arauquita,7.0292,-71.4281,27.14,46,100,1.5,CO,1739629301
30,ilulissat,69.2167,-51.1,-0.99,37,20,13.89,GL,1739629302
31,shakhtersk,49.1667,142.1333,-10.54,70,98,6.63,RU,1739629303
32,puerto aysen,-45.4,-72.7,10.66,94,99,2.27,CL,1739629304
33,puerto natales,-51.7236,-72.4875,12.25,50,75,1.54,CL,1739629305
34,red wing,44.5625,-92.5338,-5.95,82,100,0.0,US,1739629164
35,stanley,-51.7,-57.85,10.86,93,75,9.26,FK,1739629146
36,sabang,5.8933,95.3214,27.81,73,100,3.76,ID,1739629033
37,conde,-7.2597,-34.9075,30.7,62,75,5.14,BR,1739629310
38,avarua,-21.2078,-159.775,25.03,94,100,3.6,CK,1739629311
39,sheksna,59.21,38.5107,-8.02,89,100,3.06,RU,1739629312
40,lebu,-37.6167,-73.65,15.72,70,77,4.32,CL,1739629313
41,corning,42.1428,-77.0547,-2.98,60,100,1.54,US,1739629314
42,tanhuato de guerrero,20.2833,-102.3333,11.97,70,9,0.32,MX,1739629316
43,tazovsky,67.4667,78.7,-33.44,100,55,1.02,RU,1739629317
44,nieuw amsterdam,5.8833,-55.0833,29.01,65,40,4.12,SR,1739629318
45,uturoa,-16.7333,-151.4333,27.71,68,16,1.16,PF,1739629319
46,saipan,15.1355,145.701,27.39,70,40,6.17,MP,1739629320
47,elverum,60.8819,11.5623,-6.35,77,0,3.22,NO,1739629321
48,glace bay,46.1969,-59.957,-9.01,73,75,13.89,CA,1739629322
